trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
161,False,"{'a': 0.5, 'e': 0.19499999999999929}",20,1,-86.22401633199374,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 2}",1
162,False,"{'a': 0.5, 'e': 0.18999999999999928}",30,0,-4.126853339838189,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",0
163,False,"{'a': 0.5, 'e': 0.18499999999999928}",20,2,27.919928979994342,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.17999999999999927}",25,12,22.37167050416253,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.17499999999999927}",25,13,13.586633879528668,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.16999999999999926}",35,8,-33.542013023853094,"{0: 24, 1: 0, 2: 1, 3: 1, 4: 1}",1
167,False,"{'a': 0.5, 'e': 0.16499999999999926}",20,10,-22.683059217026486,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
168,False,"{'a': 0.5, 'e': 0.15999999999999925}",20,14,12.3086281704583,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.15499999999999925}",20,0,-9.908213660150022,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
170,False,"{'a': 0.5, 'e': 0.14999999999999925}",20,9,8.77410177436497,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.14499999999999924}",20,4,26.99184961677171,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.13999999999999924}",25,9,14.544102487857577,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.13499999999999923}",30,13,26.479154391083817,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.12999999999999923}",20,8,11.187196063040606,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.12499999999999922}",25,2,15.234054032750679,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.11999999999999922}",20,0,31.182010715632824,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
177,False,"{'a': 0.5, 'e': 0.11499999999999921}",20,12,2.4194282382155077,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.10999999999999921}",25,13,18.580776486070118,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.1049999999999992}",30,18,0.4743118055858939,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.0999999999999992}",20,15,7.5930668969342765,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.0949999999999992}",30,24,11.248463057112838,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.08999999999999919}",20,6,24.23162914417049,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
